road_id,start_x,start_y,end_x,end_y,capacity,road_type,zone
328559,-121.0378269,39.1664426,-121.0381033,39.1651201,1,local,west
330552,-121.1439379,39.1347475,-121.1452542,39.1372728,1,local,west
331652,-121.1835123,39.0915081,-121.2322171,39.0753213,1,local,west
331795,-120.9738499,39.1742453,-120.9726123,39.1721687,1,local,west
332555,-121.047301,39.1807433,-121.0461537,39.1767848,1,local,west
332843,-121.0469395,39.2094996,-121.044675,39.2087234,1,local,west
333389,-121.0433856,39.2079804,-121.044675,39.2087234,1,local,west
333943,-121.1527425,39.1009448,-121.1503488,39.1125491,1,local,west
334433,-121.1499572,39.1137807,-121.1503488,39.1125491,1,local,west
334569,-121.0333985,39.1592479,-121.0366663,39.1617192,1,local,west
334899,-120.9686642,39.1607472,-120.9684111,39.1624672,1,local,west
335099,-121.0010611,39.114789,-121.005658,39.105559,1,local,west
335265,-120.9726063,39.1717172,-120.9720675,39.1705091,1,local,west
335615,-120.9753265,39.1778995,-120.9754129,39.1760322,1,local,west
335774,-120.9669315,39.1452064,-120.9676751,39.1453628,1,local,west
335904,-121.0074444,39.1918593,-121.0090967,39.1935764,1,local,west
336262,-121.0386354,39.2050852,-121.0389411,39.2054562,1,local,west
336375,-121.0233601,39.1987999,-121.0221773,39.1988954,1,local,west
336639,-121.2867202,39.019256,-121.2865453,39.018704,1,local,west
337337,-120.9495877,39.1151712,-120.9501153,39.1138952,1,local,west
338647,-120.950857,39.0968748,-120.950708,39.0960424,1,local,west
340854,-121.0345796,39.2346366,-121.0339987,39.2345746,1,local,west
341062,-121.0401424,39.1592257,-121.0389507,39.1534782,1,local,west
343556,-120.9724339,39.1872298,-120.9768046,39.190016,1,local,west
343743,-120.9699769,39.1682045,-120.9695421,39.1676415,1,local,west
343745,-120.9699769,39.1682045,-120.9703982,39.1686672,1,local,west
344041,-121.1738759,39.0898201,-121.1738012,39.0898189,1,local,west
344042,-121.1738759,39.0898201,-121.1774626,39.090927,1,local,west
335394,-121.0615854,39.2140137,-121.0615551,39.2137723,1,local,west
331035,-121.063265,39.2172639,-121.0640009,39.2177303,1,local,west
332584,-121.0476492,39.2310408,-121.0506052,39.2292857,1,local,west
333553,-121.0561294,39.212725,-121.057287,39.2125165,1,local,west
336155,-121.067765,39.214868,-121.0692445,39.2155006,1,local,west
333274,-121.0372725,39.2348108,-121.0388707,39.2333288,1,local,west
335056,-121.059025,39.2218328,-121.0587803,39.2209468,1,local,west
329058,-121.0684119,39.2207662,-121.0676683,39.220335,1,local,west
333963,-121.0601351,39.2117205,-121.0616657,39.2121933,1,local,west
342982,-121.0800189,39.2171017,-121.0790183,39.2200212,1,local,west
336365,-121.0748496,39.206122,-121.0749417,39.2074898,1,local,west
339969,-121.0629223,39.2112095,-121.0619079,39.210822,1,local,west
334075,-121.0634601,39.2327261,-121.0625452,39.2327546,1,local,west
328693,-121.0826414,39.2224735,-121.08165,39.222532,1,local,west
332531,-121.0555126,39.2151271,-121.0555576,39.2157898,1,local,west
342942,-121.0788157,39.2119901,-121.0799017,39.2147944,1,local,west
333858,-121.070311,39.2303165,-121.0714809,39.2294236,1,local,west
328448,-121.0534934,39.2206568,-121.0495581,39.2241804,1,local,west
336292,-121.0649591,39.2180829,-121.0646785,39.219192,1,local,west
328936,-121.056729,39.2158292,-121.0585531,39.2159805,1,local,west
332421,-121.0489767,39.2138793,-121.0489372,39.2138093,1,local,west
331875,-121.0613963,39.2205761,-121.0616897,39.2200334,1,local,west
331110,-121.0588291,39.2310729,-121.059435,39.2320711,1,local,west
329100,-121.0577326,39.220953,-121.0573909,39.2218368,1,local,west
330299,-121.0606696,39.2281591,-121.0624389,39.2290166,1,local,west
328595,-121.063455,39.223566,-121.0636304,39.2230154,1,local,west
333567,-121.0472053,39.2075881,-121.0477603,39.2099901,1,local,west
333610,-121.0823274,39.2141947,-121.0812743,39.2143225,1,local,west
334973,-121.0761358,39.2260772,-121.0772409,39.2244515,1,local,west
342960,-121.0849511,39.2183611,-121.0816889,39.2186233,1,local,west
328938,-121.056729,39.2158292,-121.0564004,39.2137476,1,local,west
334857,-121.0355329,39.2244087,-121.0353979,39.22479,1,local,west
328146,-121.0646785,39.219192,-121.066419,39.2197132,1,local,west
331376,-121.0595855,39.2238345,-121.0609091,39.2228848,1,local,west
343115,-121.0632318,39.2050815,-121.062802,39.2050799,1,local,west
341081,-121.0558735,39.2274758,-121.0561477,39.2280837,1,local,west
329042,-121.06296,39.2190921,-121.0629829,39.218085,1,local,west
343398,-121.0753214,39.2053231,-121.0770171,39.2055183,1,local,west
339716,-121.0254523,39.2485231,-121.0250961,39.248385,1,local,west
329638,-121.0518086,39.2459107,-121.0473202,39.2463447,1,local,west
333273,-121.0391509,39.2328912,-121.0359632,39.2358304,1,local,west
335913,-121.054428,39.2416414,-121.0472879,39.2447171,1,local,west
339719,-121.0254523,39.2485231,-121.0278207,39.2486623,1,local,west
344417,-121.0278207,39.2486623,-121.0279438,39.248642,1,local,west
335036,-121.0568405,39.2098197,-121.0567622,39.2110217,1,local,west
329057,-121.0684119,39.2207662,-121.069938,39.2216956,1,local,west
334217,-121.0942271,39.1672594,-121.0967786,39.1659882,1,local,west
329728,-121.0993213,39.2155811,-121.0997341,39.2134289,1,local,west
